time,event,delta,cumulative,at_capacity
2025-09-01 22:28:28.141,arrival,1,1224,True
2025-09-01 22:30:03.682,arrival,1,1225,True
2025-09-01 22:30:09.755,arrival,1,1226,True
2025-09-01 22:30:12.051,arrival,1,1227,True
2025-09-01 22:31:46.257,arrival,1,1228,True
2025-09-01 22:34:15.719,arrival,1,1229,True
2025-09-01 22:37:13.695,arrival,1,1230,True
2025-09-01 22:38:01.910,arrival,1,1231,True
2025-09-01 22:38:29.608,arrival,1,1232,True
2025-09-01 22:38:46.819,arrival,1,1233,True
2025-09-01 22:40:06.019,arrival,1,1234,True
2025-09-01 23:03:48.907,departure,-1,1233,True
2025-09-01 23:07:06.853,arrival,1,1234,True
2025-09-01 23:22:10.270,departure,-1,1233,True
2025-09-01 23:22:15.422,departure,-1,1232,True
2025-09-01 23:22:50.501,departure,-1,1231,True
2025-09-01 23:24:46.742,departure,-1,1230,True
2025-09-01 23:25:06.475,departure,-1,1229,True
2025-09-01 23:33:32.287,departure,-1,1228,True
2025-09-01 23:40:12.001,arrival,1,1229,True
2025-09-01 23:42:50.130,arrival,1,1230,True
2025-09-01 23:49:02.300,arrival,1,1231,True
2025-09-01 23:49:10.493,arrival,1,1232,True
2025-09-02 00:01:23.637,arrival,1,1233,True
2025-09-02 00:03:33.006,departure,-1,1232,True
2025-09-02 00:06:43.795,arrival,1,1233,True
2025-09-02 00:12:26.720,arrival,1,1234,True
2025-09-02 06:03:24.372,departure,-1,1233,True
2025-09-02 06:54:48.899,arrival,1,1234,True
2025-09-02 06:58:08.750,departure,-1,1233,True
2025-09-02 07:12:07.827,departure,-1,1232,True
2025-09-02 07:28:21.080,departure,-1,1231,True
2025-09-02 07:35:05.652,departure,-1,1230,True
2025-09-02 07:38:03.848,departure,-1,1229,True
2025-09-02 07:53:49.871,departure,-1,1228,True
2025-09-02 07:55:59.157,arrival,1,1229,True
2025-09-02 07:59:15.296,departure,-1,1228,True
2025-09-02 07:59:37.074,departure,-1,1227,True
2025-09-02 08:07:37.623,departure,-1,1226,True
2025-09-02 08:08:06.941,departure,-1,1225,True
2025-09-02 08:10:04.590,departure,-1,1224,True
2025-09-02 08:14:10.212,departure,-1,1223,True
2025-09-02 08:14:22.377,departure,-1,1222,True
2025-09-02 08:14:55.498,departure,-1,1221,True
2025-09-02 08:19:16.740,arrival,1,1222,True
2025-09-02 08:23:57.589,departure,-1,1221,True
2025-09-02 08:25:25.451,departure,-1,1220,True
2025-09-02 08:29:28.075,departure,-1,1219,True
2025-09-02 08:31:04.948,departure,-1,1218,True
